ID1,ID2,lat,long,el
POM156599,1903,32.6064,-116.469,793.95
POM47079,1924,32.71389,-116.75889,682.32
JEPS1895,1916,32.73409,-117.12945,15
POM126452,1906,32.8528,-116.616,1034.13
POM48180,1924,32.88958,-116.57607,1433
POM3737,1897,32.9084,-116.9261,146.82
POM126450,1896,33.04179,-116.86803,435.2
POM126453,1901,33.0782,-116.565,937.52
POM210106,1935,33.07822,-116.53295,780.99
POM73427,1906,33.0787,-116.602,1220
POM46977,1919,33.18032,-116.76919,1021
POM305712,1939,33.23906,-116.69116,869.59
CDA20118,2003,33.283333,-116.887778,834.32
POM155815,1903,33.30764,-117.25945,200.88
POM73920,1882,33.37642,-117.25115,205.3
POM289751,1932,33.4667,-117.1362,549
CLARK-A1656-623,1978,33.5615,-116.5704,1493.52
POM305648,1939,33.6401,-116.8018,897.85
POM264311,1937,33.647222,-117.337222,378.7
POM13005,1922,33.701,-116.7105,1524
POM3455,1897,33.707306,-117.084694,449.18
CHSC699,1940,33.708611,-117.082778,450.36
POM258226,1941,33.7996,-116.9277,521.37
JEPS29295,1962,33.8155,-117.5448,304
POM347132,1926,33.876448,-117.687658,119.58
POM126470,1908,33.9382,-117.3195,421.16
CLARK-A1703-30,1966,33.9669,-117.347,213.36
CLARK-A1528-548,1937,33.9761,-117.2899,747.75
CLARK-A1528-2987,1947,33.9996,-117.2317,545.45
POM128992,1927,34.0039,-117.062,729.18
CLARK-A1528-5660,1952,34.0076,-117.2567,457.2
CHSC26054,1963,34.014722,-117.001389,1066
CHSC701,1938,34.039722,-117.193333,430.4
POM7063,1919,34.0872,-117.8135,274
POM126458,1908,34.113067,-117.291902,360
LA202608,1941,34.14330879,-118.4534229,244.13
IRVC15781,1978,34.1523,-116.4557,1067
POM73913,1882,34.152867,-118.121454,249.86
POM296771,1945,34.156915,-117.70179,549
POM347129,1971,34.230087,-117.469389,793
POM293455,1949,34.2325,-117.2953,1280
POM6534,1919,34.241699,-117.245801,1587.58
POM6902,1919,34.256719,-117.491796,989.71
CLARK-A1045-560,1977,34.2845,-117.1941,1524
CHSC61985,1993,34.338056,-118.864444,70
POM6554,1919,34.36844,-117.42656,1220
POM48804,1917,34.4267,-117.301,970.29
POM229166,1937,34.463112,-117.351939,976
GH93110,2006,34.473101,-117.124596,927.09
GMDRC7800,2015,34.781367,-115.652233,1309
GMDRC4298,2010,34.784483,-115.6598,1331
GMDRC7692,2015,34.784817,-115.664,1348
GMDRC9674,2017,34.80558,-115.67141,1350
GMDRC3694,2005,34.808067,-115.669467,1340
GMDRC9754,2017,34.80936,-115.65561,1280
GMDRC995,2001,34.819233,-115.647467,1229
POM7595,1920,34.980763,-115.506651,854
POM97174,1925,35.10194,-118.28429,610
POM118676,1924,35.3733,-119.0187,123.38
POM202997,1933,35.389973,-120.609057,308.5
POM307904,1941,35.501917,-119.273162,105.88
CHSC47108,1986,36.094167,-120.440556,304
POM199848,1932,36.2078,-119.3464,87.95
POM65806,1917,36.5156,-121.94211,18.81
JEPS1913,1919,36.570831,-119.611107,94.65
CHSC70018,1996,36.908056,-119.306667,533
CHSC70378,1986,36.940833,-121.027222,190
POM65372,1904,36.97088,-122.0212,3.41
CHSC55122,1986,36.975278,-121.053056,198
POM289748,1931,37.262715,-119.795053,518
POM249028,1938,37.393056,-120.007778,457
JROH5546,2013,37.401102,-122.230657,136
JROH2738,1976,37.407873,-122.245972,125.63
JROH2737,1903,37.4079,-122.246,125.63
JROH2740,1992,37.4079,-122.246,125.63
CHSC27746,1978,37.707778,-120.200833,502
CHSC59744,1979,37.814444,-120.311667,457
CAS-BOT-BC422397,2014,37.96388,-122.62416,344.58
CAS-BOT-BC263265,2012,37.96519,-122.61191,205.75
CHSC23125,1962,37.996389,-123.006111,152.05
CHSC14010,1974,38.176667,-120.391667,914
CHSC31076,1980,38.363333,-122.560278,225
CDA12056,1989,38.5,-122.4,250.71
CHSC57470,1990,38.543333,-123.292778,24
CHSC43316,1969,38.556111,-122.186944,243
POM263485,1939,38.5756,-122.4499,533.6
POM126457,1907,38.7525,-122.615,337.42
CHSC700,1947,38.891667,-121.291944,91
CHSC52401,1983,38.908056,-122.770278,528
CHSC40119,1985,38.932222,-123.307222,250.22
CHSC24140,1976,38.9425,-122.792222,546.51
CHSC27541,1978,38.9425,-122.792222,499
CHSC27799,1978,38.9425,-122.792222,463
CHSC27517,1978,38.9425,-122.792222,529
CHSC90100,1991,38.943056,-122.793333,579
HREC495,1952,38.989016,-123.079671,152
HREC492,1953,38.989016,-123.079671,264.7
CHSC14017,1974,39.011667,-122.366667,335
CHSC36121,1980,39.011667,-122.364444,321
CHSC59547,1992,39.036389,-122.692222,536
CHSC71117,1989,39.055833,-122.781389,396
CHSC90532,1997,39.1625,-122.615,762
CHSC12046,1970,39.198889,-121.795,121
CHSC24951,1976,39.233889,-123.370278,426
CHSC43315,1977,39.266389,-121.813056,45
CHSC32094,1973,39.395833,-121.361944,304
CHSC57471,1987,39.428056,-122.511111,304
CHSC55712,1991,39.480278,-122.5,122
CHSC81274,2001,39.491111,-123.789722,6
CHSC62467,1991,39.546667,-121.387778,295
CHSC31077,1980,39.550556,-121.380278,316
CAS-BOT-BC7219,1897,39.605797,-121.68332,53
CHSC116929,2011,39.610556,-121.561667,235
CHSC118643,2016,39.614167,-123.458611,469
CHSC697,1897,39.655,-121.584167,133.87
CHSC31306,1980,39.716389,-123.489444,506.94
CHSC4019,1967,39.729167,-121.702778,105.47
CHSC76944,1893,39.731667,-121.841667,60.58
CHSC2522,1958,39.732778,-121.834167,365
CHSC38460,1983,39.783333,-121.757222,297
CHSC77587,1999,39.793333,-122.591111,243
CHSC698,1904,39.830556,-121.810556,83
JEPS1483,1938,39.84641,-122.62066,319.5
CHSC83371,2002,39.8525,-122.618889,320
CHSC56643,1977,39.853056,-122.573333,300
CHSC88986,2000,39.880556,-121.894167,112
CDA11943,1989,39.883333,-123.55,780.02
CHSC9270,1971,39.891944,-121.918889,85
CHSC35982,1982,39.899444,-121.916944,100
CHSC116923,2011,39.91,-122.128611,66
CHSC4065,1967,40.163056,-122.256389,91
CHSC55499,1991,40.401111,-121.9775,365
CDA40359,2005,40.87725,-123.757889,962.15
CHSC26430,1977,41.728333,-123.892222,304
CHSC24930,1976,41.795833,-124.201944,9
CAS-BOT-BC95004,2006,35.981406,-121.235883,472
CDA40358,1985,36.817974,-119.345817,174.87
CDA40360,2011,34.354166,-119.05927,85.48
